timestamp,city,temperature,description
2026-03-16T12:40:37.151Z,Edinburgh,8.55,broken clouds
2026-03-16T12:41:49.319Z,Edinburgh,8.55,broken clouds
2026-03-16T12:48:12.909Z,Edinburgh,8.83,broken clouds
2026-03-16T12:49:25.836Z,Edinburgh,8.83,broken clouds
2026-03-16T15:07:58.217Z,Edinburgh,8.66,light rain
2026-03-16T15:13:57.030Z,Edinburgh,8.74,light rain
2026-03-16T15:30:32.378Z,Edinburgh,9.09,light rain
2026-03-16T15:33:50.409Z,Edinburgh,9.09,light rain
2026-03-16T15:39:11.972Z,Edinburgh,9.08,light rain
2026-03-16T15:40:34.070Z,Edinburgh,9.08,light rain
2026-03-17T12:33:48.156Z,London,13.15,broken clouds
2026-03-17T14:17:31.505Z,Edinburgh,10.1,scattered clouds
2026-03-17T14:51:41.262Z,Edinburgh,10.04,broken clouds
2026-03-17T16:59:59.463Z,Edinburgh,10.55,broken clouds
2026-03-17T18:55:05.716Z,Edinburgh,9.88,scattered clouds
2026-03-17T20:33:55.461Z,Edinburgh,9.97,broken clouds
2026-03-17T22:28:07.152Z,Edinburgh,9.96,overcast clouds
2026-03-18T01:49:15.457Z,Edinburgh,9.65,broken clouds
2026-03-18T04:21:18.632Z,Edinburgh,8.69,overcast clouds
2026-03-18T06:56:30.395Z,Edinburgh,7.12,few clouds
2026-03-18T08:41:31.743Z,Edinburgh,9.23,scattered clouds
2026-03-18T10:45:54.256Z,Edinburgh,12.2,broken clouds
2026-03-18T12:59:12.777Z,Edinburgh,12.34,few clouds
2026-03-18T14:58:25.658Z,Edinburgh,12.98,overcast clouds
2026-03-18T16:54:32.813Z,Edinburgh,11.7,broken clouds
2026-03-18T18:53:35.948Z,Edinburgh,10.66,overcast clouds
2026-03-18T20:30:43.267Z,Edinburgh,9.11,overcast clouds
2026-03-18T22:27:50.554Z,Edinburgh,8.39,overcast clouds
2026-03-19T01:50:17.639Z,Edinburgh,6.09,broken clouds
2026-03-19T04:20:11.828Z,Edinburgh,4.63,broken clouds
2026-03-19T06:52:16.820Z,Edinburgh,6.25,overcast clouds
2026-03-19T08:36:24.324Z,Edinburgh,7.55,overcast clouds
2026-03-19T10:35:07.008Z,Edinburgh,10.71,overcast clouds
2026-03-19T12:53:46.375Z,Edinburgh,11.84,clear sky
2026-03-19T14:43:20.509Z,Edinburgh,10.35,overcast clouds
2026-03-19T16:53:01.757Z,Edinburgh,10.34,broken clouds
2026-03-19T18:51:04.579Z,Edinburgh,7.21,scattered clouds
2026-03-19T20:31:35.386Z,Edinburgh,5.98,overcast clouds
2026-03-19T22:22:47.894Z,Edinburgh,5.52,mist
2026-03-20T01:44:51.996Z,Edinburgh,4.23,fog
2026-03-20T04:10:01.370Z,Edinburgh,4.53,overcast clouds
2026-03-20T06:48:09.508Z,Edinburgh,2.77,fog
2026-03-20T08:34:58.765Z,Edinburgh,3.71,fog
2026-03-20T10:33:10.842Z,Edinburgh,9.5,fog
2026-03-20T12:47:42.132Z,Edinburgh,13.97,overcast clouds
2026-03-20T14:39:58.746Z,Edinburgh,13.68,overcast clouds
2026-03-20T16:37:17.461Z,Edinburgh,13.81,few clouds
2026-03-20T18:40:23.924Z,Edinburgh,11.37,clear sky
2026-03-20T20:26:23.995Z,Edinburgh,10.42,clear sky
2026-03-20T22:23:12.302Z,Edinburgh,7.06,overcast clouds
2026-03-21T01:27:38.023Z,Edinburgh,6.3,clear sky
2026-03-21T04:01:11.202Z,Edinburgh,4.12,broken clouds
2026-03-21T06:36:18.247Z,Edinburgh,4.1,clear sky
2026-03-21T08:26:33.988Z,Edinburgh,7.09,clear sky
2026-03-21T10:21:22.633Z,Edinburgh,10.96,broken clouds
2026-03-21T12:36:59.404Z,Edinburgh,13.27,few clouds
2026-03-21T14:22:11.907Z,Edinburgh,13.77,overcast clouds
2026-03-21T16:23:20.838Z,Edinburgh,14.03,clear sky
2026-03-21T18:29:17.470Z,Edinburgh,10.77,broken clouds
2026-03-21T20:20:29.060Z,Edinburgh,8.91,clear sky
2026-03-21T22:18:48.555Z,Edinburgh,6.44,overcast clouds
2026-03-22T01:49:32.187Z,Edinburgh,7.15,overcast clouds
2026-03-22T04:15:24.114Z,Edinburgh,7.89,overcast clouds
2026-03-22T06:43:54.266Z,Edinburgh,5.72,overcast clouds
2026-03-22T08:28:51.028Z,Edinburgh,7.62,overcast clouds
2026-03-22T10:21:47.505Z,Edinburgh,10.16,broken clouds
2026-03-22T12:39:26.406Z,Edinburgh,10.84,scattered clouds
2026-03-22T14:22:51.636Z,Edinburgh,12.63,scattered clouds
2026-03-22T16:23:37.558Z,Edinburgh,11.28,overcast clouds
2026-03-22T18:29:51.735Z,Edinburgh,9.14,broken clouds
2026-03-22T20:21:03.989Z,Edinburgh,6.38,clear sky
2026-03-22T22:20:21.042Z,Edinburgh,5.22,clear sky
2026-03-23T01:50:37.400Z,Edinburgh,4.18,overcast clouds
2026-03-23T04:25:12.225Z,Edinburgh,3.68,overcast clouds
2026-03-23T07:03:35.353Z,Edinburgh,3.9,overcast clouds
2026-03-23T08:49:38.719Z,Edinburgh,5.87,clear sky
2026-03-23T10:48:51.796Z,Edinburgh,9.29,clear sky
2026-03-23T12:55:32.274Z,Edinburgh,8.83,broken clouds
2026-03-23T14:51:35.502Z,Edinburgh,8.94,broken clouds
2026-03-23T16:53:30.471Z,Edinburgh,9.21,light rain
2026-03-23T18:45:43.780Z,Edinburgh,8.13,light rain
2026-03-23T20:37:17.062Z,Edinburgh,8.68,overcast clouds
2026-03-23T22:27:17.256Z,Edinburgh,9.84,overcast clouds
2026-03-24T01:42:46.904Z,Edinburgh,11.16,scattered clouds
2026-03-24T04:14:01.582Z,Edinburgh,10.22,broken clouds
2026-03-24T06:58:12.259Z,Edinburgh,8.58,scattered clouds
2026-03-24T08:44:28.032Z,Edinburgh,8.97,overcast clouds
2026-03-24T10:45:50.103Z,Edinburgh,10.92,scattered clouds
2026-03-24T13:00:02.445Z,Edinburgh,10.91,clear sky
2026-03-24T14:53:04.521Z,Edinburgh,9.36,scattered clouds
2026-03-24T16:55:40.739Z,Edinburgh,8.15,overcast clouds
2026-03-24T18:56:04.857Z,Edinburgh,6.98,broken clouds
2026-03-24T20:36:09.408Z,Edinburgh,5.83,overcast clouds
2026-03-24T22:24:43.104Z,Edinburgh,4.45,clear sky
2026-03-25T01:48:20.704Z,Edinburgh,3.38,broken clouds
2026-03-25T04:15:44.856Z,Edinburgh,3.44,scattered clouds
2026-03-25T06:56:29.111Z,Edinburgh,2.8,few clouds
2026-03-25T08:43:08.078Z,Edinburgh,5.08,broken clouds
2026-03-25T10:43:14.383Z,Edinburgh,6.71,broken clouds
2026-03-25T12:57:59.744Z,Edinburgh,7.7,scattered clouds
2026-03-25T14:54:34.103Z,Edinburgh,7.41,scattered clouds
2026-03-25T16:57:52.040Z,Edinburgh,7.11,scattered clouds
2026-03-25T18:50:13.792Z,Edinburgh,5.46,scattered clouds
2026-03-25T20:33:31.921Z,Edinburgh,4.12,scattered clouds
2026-03-25T22:30:38.342Z,Edinburgh,2.64,few clouds
2026-03-26T01:54:36.014Z,Edinburgh,0.99,scattered clouds
2026-03-26T04:29:58.486Z,Edinburgh,0.27,broken clouds
2026-03-26T07:02:22.039Z,Edinburgh,1.02,scattered clouds
2026-03-26T08:47:20.224Z,Edinburgh,4.53,clear sky
2026-03-26T10:48:38.389Z,Edinburgh,7,few clouds
2026-03-26T13:02:26.149Z,Edinburgh,7.23,light rain
2026-03-26T14:59:14.254Z,Edinburgh,7.6,overcast clouds
2026-03-26T16:56:23.124Z,Edinburgh,8.06,scattered clouds
2026-03-26T18:58:54.374Z,Edinburgh,6.58,scattered clouds
2026-03-26T20:31:20.102Z,Edinburgh,6.67,broken clouds
2026-03-26T22:23:38.517Z,Edinburgh,6.94,overcast clouds
2026-03-27T01:54:54.535Z,Edinburgh,8.62,broken clouds
2026-03-27T04:30:58.972Z,Edinburgh,6.83,overcast clouds
2026-03-27T07:01:06.132Z,Edinburgh,6.56,overcast clouds
2026-03-27T08:44:05.509Z,Edinburgh,7.73,scattered clouds
2026-03-27T10:42:17.300Z,Edinburgh,10.24,scattered clouds
2026-03-27T12:54:36.615Z,Edinburgh,10.93,few clouds
2026-03-27T14:45:42.073Z,Edinburgh,8.57,light rain
2026-03-27T16:48:30.194Z,Edinburgh,7.59,broken clouds
2026-03-27T18:49:24.160Z,Edinburgh,4.83,scattered clouds
2026-03-27T20:32:43.918Z,Edinburgh,3.74,clear sky
2026-03-27T22:26:58.202Z,Edinburgh,4.14,few clouds
2026-03-28T01:46:51.656Z,Edinburgh,3.63,clear sky
2026-03-28T04:15:17.019Z,Edinburgh,3.99,moderate rain
2026-03-28T06:52:40.499Z,Edinburgh,3.01,few clouds
2026-03-28T08:33:18.310Z,Edinburgh,4.61,few clouds
2026-03-28T10:26:57.550Z,Edinburgh,7.05,broken clouds
2026-03-28T12:42:29.258Z,Edinburgh,8.78,scattered clouds
2026-03-28T14:27:26.387Z,Edinburgh,7.99,scattered clouds
2026-03-28T16:27:41.739Z,Edinburgh,7.34,scattered clouds
2026-03-28T18:33:17.173Z,Edinburgh,5.31,few clouds
2026-03-28T20:24:03.780Z,Edinburgh,4.29,few clouds
2026-03-28T22:23:17.291Z,Edinburgh,3.73,few clouds
2026-03-29T01:57:52.392Z,Edinburgh,3.32,overcast clouds
2026-03-29T04:38:54.635Z,Edinburgh,5.6,overcast clouds
2026-03-29T06:57:21.040Z,Edinburgh,4.91,moderate rain
2026-03-29T08:34:28.952Z,Edinburgh,5.69,moderate rain
2026-03-29T10:27:55.011Z,Edinburgh,7.41,moderate rain
2026-03-29T12:42:25.143Z,Edinburgh,8.03,moderate rain
2026-03-29T14:29:43.863Z,Edinburgh,7.3,light rain
2026-03-29T16:29:15.475Z,Edinburgh,6.98,overcast clouds
2026-03-29T18:34:56.221Z,Edinburgh,4.12,overcast clouds
2026-03-29T20:26:03.288Z,Edinburgh,4.43,broken clouds
2026-03-29T22:25:25.821Z,Edinburgh,3.76,clear sky
2026-03-30T02:02:08.340Z,Edinburgh,3.85,clear sky
2026-03-30T04:51:20.376Z,Edinburgh,3.41,clear sky
2026-03-30T07:20:43.309Z,Edinburgh,4.67,broken clouds
2026-03-30T09:06:07.693Z,Edinburgh,6.86,scattered clouds
2026-03-30T10:57:20.942Z,Edinburgh,8.22,scattered clouds
2026-03-30T13:07:14.297Z,Edinburgh,7.54,broken clouds
2026-03-30T14:59:09.509Z,Edinburgh,10.08,scattered clouds
2026-03-30T16:50:57.285Z,Edinburgh,9.41,broken clouds
2026-03-30T18:53:14.807Z,Edinburgh,8.22,few clouds
2026-03-30T20:39:27.168Z,Edinburgh,7.57,broken clouds
2026-03-30T22:29:59.245Z,Edinburgh,7.57,broken clouds
2026-03-31T01:55:58.331Z,Edinburgh,7.89,broken clouds
2026-03-31T04:34:28.208Z,Edinburgh,8.97,broken clouds
2026-03-31T07:06:12.204Z,Edinburgh,9.03,overcast clouds
2026-03-31T08:52:06.268Z,Edinburgh,10.98,broken clouds
2026-03-31T10:49:11.384Z,Edinburgh,12.09,broken clouds
2026-03-31T13:05:33.651Z,Edinburgh,13.66,broken clouds
2026-03-31T14:57:02.116Z,Edinburgh,13.33,broken clouds
2026-03-31T16:52:31.334Z,Edinburgh,12.71,broken clouds
2026-03-31T18:55:12.458Z,Edinburgh,10.84,broken clouds
2026-03-31T20:38:05.412Z,Edinburgh,9.99,overcast clouds
2026-03-31T22:29:36.909Z,Edinburgh,9.82,overcast clouds
2026-04-01T02:04:34.186Z,Edinburgh,9.86,overcast clouds
2026-04-01T05:52:34.675Z,Edinburgh,9.85,broken clouds
2026-04-01T07:13:30.332Z,Edinburgh,9.94,scattered clouds
2026-04-01T08:57:51.502Z,Edinburgh,10.96,broken clouds
2026-04-01T10:50:11.497Z,Edinburgh,12.25,broken clouds
2026-04-01T13:08:57.907Z,Edinburgh,12.06,light rain
2026-04-01T14:59:53.826Z,Edinburgh,11.61,light rain
2026-04-01T16:47:58.974Z,Edinburgh,8.69,moderate rain
2026-04-01T18:54:07.901Z,Edinburgh,3.87,moderate rain
2026-04-01T20:39:08.499Z,Edinburgh,3.23,light rain
2026-04-01T22:32:14.952Z,Edinburgh,1.7,clear sky
2026-04-02T01:52:15.255Z,Edinburgh,1.03,clear sky
2026-04-02T04:26:28.533Z,Edinburgh,0.38,clear sky
2026-04-02T07:05:43.323Z,Edinburgh,0.82,few clouds
2026-04-02T08:50:50.715Z,Edinburgh,4.45,clear sky
2026-04-02T10:47:30.988Z,Edinburgh,6.91,few clouds
2026-04-02T13:01:06.174Z,Edinburgh,9.48,few clouds
2026-04-02T14:50:51.165Z,Edinburgh,9.78,few clouds
2026-04-02T16:52:36.042Z,Edinburgh,9.23,few clouds
2026-04-02T18:50:37.497Z,Edinburgh,6.58,few clouds
2026-04-02T20:30:26.349Z,Edinburgh,6.13,clear sky
2026-04-02T22:26:32.332Z,Edinburgh,5.64,clear sky
2026-04-03T01:53:59.334Z,Edinburgh,6.76,light rain
2026-04-03T04:26:44.261Z,Edinburgh,8.62,broken clouds
2026-04-03T07:02:14.160Z,Edinburgh,7.36,few clouds
2026-04-03T08:45:59.484Z,Edinburgh,7.89,light rain
2026-04-03T10:38:00.151Z,Edinburgh,8.15,light rain
2026-04-03T12:53:43.939Z,Edinburgh,7.78,scattered clouds
2026-04-03T14:38:42.843Z,Edinburgh,8.25,broken clouds
2026-04-03T16:34:01.202Z,Edinburgh,7.52,scattered clouds
2026-04-03T18:39:19.911Z,Edinburgh,4.39,scattered clouds
2026-04-03T20:30:19.963Z,Edinburgh,3.65,clear sky
2026-04-03T22:28:14.437Z,Edinburgh,3.66,clear sky
2026-04-04T01:47:07.632Z,Edinburgh,2.76,few clouds
2026-04-04T04:12:52.702Z,Edinburgh,2.12,clear sky
2026-04-04T06:54:06.192Z,Edinburgh,2.84,few clouds
2026-04-04T08:35:45.512Z,Edinburgh,5.53,few clouds
2026-04-04T10:28:05.740Z,Edinburgh,7.53,scattered clouds
2026-04-04T12:42:29.148Z,Edinburgh,4.81,light rain
2026-04-04T14:29:24.123Z,Edinburgh,4.74,moderate rain
2026-04-04T16:29:38.135Z,Edinburgh,7.17,light rain
2026-04-04T18:34:05.306Z,Edinburgh,9.37,scattered clouds
2026-04-04T20:23:52.834Z,Edinburgh,8.59,light rain
2026-04-04T22:24:35.511Z,Edinburgh,7.22,broken clouds
2026-04-05T01:59:25.056Z,Edinburgh,3.42,few clouds
2026-04-05T04:41:38.865Z,Edinburgh,3.21,broken clouds
2026-04-05T06:59:10.595Z,Edinburgh,3.9,few clouds
2026-04-05T08:37:21.004Z,Edinburgh,3.51,scattered clouds
2026-04-05T10:28:05.667Z,Edinburgh,6.35,moderate rain
2026-04-05T12:44:11.422Z,Edinburgh,6.4,few clouds
2026-04-05T14:32:00.338Z,Edinburgh,5.72,broken clouds
2026-04-05T16:30:17.600Z,Edinburgh,5.96,moderate rain
2026-04-05T18:36:10.682Z,Edinburgh,3.62,scattered clouds
2026-04-05T20:26:53.596Z,Edinburgh,2.78,clear sky
2026-04-05T22:25:39.405Z,Edinburgh,2.47,few clouds
2026-04-06T02:01:59.088Z,Edinburgh,1.47,scattered clouds
2026-04-06T05:56:18.334Z,Edinburgh,1.51,clear sky
2026-04-06T07:27:06.447Z,Edinburgh,2.3,overcast clouds
2026-04-06T09:03:19.076Z,Edinburgh,6.44,broken clouds
2026-04-06T10:51:05.283Z,Edinburgh,7.55,overcast clouds
2026-04-06T12:59:21.581Z,Edinburgh,10.79,broken clouds
2026-04-06T14:41:38.806Z,Edinburgh,11.02,overcast clouds
2026-04-06T16:40:43.021Z,Edinburgh,10.23,overcast clouds
2026-04-06T18:51:27.561Z,Edinburgh,9.94,overcast clouds
2026-04-06T20:33:27.886Z,Edinburgh,6.15,overcast clouds
2026-04-06T22:30:39.360Z,Edinburgh,5.93,overcast clouds
2026-04-07T01:56:39.571Z,Edinburgh,4.59,few clouds
2026-04-07T04:33:30.748Z,Edinburgh,3.63,few clouds
2026-04-07T07:08:53.792Z,Edinburgh,6.74,few clouds
2026-04-07T08:56:31.031Z,Edinburgh,10.3,scattered clouds
2026-04-07T10:51:08.504Z,Edinburgh,13.57,scattered clouds
2026-04-07T13:08:42.616Z,Edinburgh,15.03,broken clouds
2026-04-07T15:03:27.352Z,Edinburgh,16.03,clear sky
2026-04-07T16:51:45.380Z,Edinburgh,14.53,clear sky
2026-04-07T18:56:54.584Z,Edinburgh,12.37,overcast clouds
2026-04-07T20:41:34.335Z,Edinburgh,11.75,clear sky
2026-04-07T22:33:20.037Z,Edinburgh,8.78,overcast clouds
2026-04-08T01:57:33.965Z,Edinburgh,9.88,overcast clouds
2026-04-08T04:38:05.024Z,Edinburgh,6.73,overcast clouds
2026-04-08T07:11:34.237Z,Edinburgh,9.43,scattered clouds
